--- Terminal: 1 ---
[2026-05-13 08:05:02] Decode batch, #running-req: 24, #full token: 1800725, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1881.72, #queue-req: 8, 
[2026-05-13 08:05:03] Decode batch, #running-req: 24, #full token: 1802485, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1882.18, #queue-req: 8, 
[2026-05-13 08:05:04] Decode batch, #running-req: 24, #full token: 1804245, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1881.38, #queue-req: 8, 
[2026-05-13 08:05:05] Decode batch, #running-req: 24, #full token: 1806005, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1881.58, #queue-req: 8, 
[2026-05-13 08:05:06] Decode batch, #running-req: 24, #full token: 1807765, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1884.67, #queue-req: 8, 
[2026-05-13 08:05:07] Decode batch, #running-req: 24, #full token: 1809525, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1883.60, #queue-req: 8, 
[2026-05-13 08:05:08] Decode batch, #running-req: 24, #full token: 1811285, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1883.05, #queue-req: 8, 
[2026-05-13 08:05:09] Decode batch, #running-req: 24, #full token: 1813045, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1879.12, #queue-req: 8, 
[2026-05-13 08:05:10] Decode batch, #running-req: 24, #full token: 1814805, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1879.37, #queue-req: 8, 
[2026-05-13 08:05:11] Decode batch, #running-req: 24, #full token: 1816565, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1879.37, #queue-req: 8, 
[2026-05-13 08:05:12] Decode batch, #running-req: 24, #full token: 1818325, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1877.88, #queue-req: 8, 
[2026-05-13 08:05:13] Decode batch, #running-req: 24, #full token: 1820085, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1879.52, #queue-req: 8, 
[2026-05-13 08:05:14] Decode batch, #running-req: 24, #full token: 1821845, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1876.43, #queue-req: 8, 
[2026-05-13 08:05:15] Decode batch, #running-req: 24, #full token: 1823605, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1876.95, #queue-req: 8, 
[2026-05-13 08:05:16] Decode batch, #running-req: 24, #full token: 1825365, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1879.47, #queue-req: 8, 
[2026-05-13 08:05:17] Decode batch, #running-req: 24, #full token: 1827125, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1880.28, #queue-req: 8, 
[2026-05-13 08:05:17] Decode batch, #running-req: 24, #full token: 1828885, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1875.81, #queue-req: 8, 
[2026-05-13 08:05:18] Decode batch, #running-req: 24, #full token: 1830645, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1874.08, #queue-req: 8, 
[2026-05-13 08:05:19] Decode batch, #running-req: 24, #full token: 1832405, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1874.40, #queue-req: 8, 
[2026-05-13 08:05:20] Decode batch, #running-req: 24, #full token: 1834165, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1874.63, #queue-req: 8, 
[2026-05-13 08:05:21] Decode batch, #running-req: 24, #full token: 1835925, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1874.10, #queue-req: 8, 
[2026-05-13 08:05:22] Decode batch, #running-req: 24, #full token: 1837685, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1873.55, #queue-req: 8, 
[2026-05-13 08:05:23] Decode batch, #running-req: 24, #full token: 1839445, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1874.92, #queue-req: 8, 
[2026-05-13 08:05:24] Decode batch, #running-req: 24, #full token: 1841205, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1873.14, #queue-req: 8, 
[2026-05-13 08:05:25] Decode batch, #running-req: 24, #full token: 1842965, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1872.70, #queue-req: 8, 
[2026-05-13 08:05:26] Decode batch, #running-req: 24, #full token: 1844725, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1870.56, #queue-req: 8, 
[2026-05-13 08:05:27] Decode batch, #running-req: 24, #full token: 1846485, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1865.78, #queue-req: 8, 
[2026-05-13 08:05:28] Decode batch, #running-req: 24, #full token: 1848245, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1866.01, #queue-req: 8, 
[2026-05-13 08:05:29] Decode batch, #running-req: 24, #full token: 1850005, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1868.67, #queue-req: 8, 
[2026-05-13 08:05:30] Decode batch, #running-req: 24, #full token: 1851765, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1868.10, #queue-req: 8, 
[2026-05-13 08:05:31] Decode batch, #running-req: 24, #full token: 1853525, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1865.86, #queue-req: 8, 
[2026-05-13 08:05:32] Decode batch, #running-req: 24, #full token: 1855285, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1866.26, #queue-req: 8, 
